Lambda,D_rot,score
100000.0,0.0,0.8643
100000.0,0.0,0.8666
100000.0,0.0,0.8672
100000.0,0.0,0.8662
100000.0,0.0,0.8675
100000.0,0.0,0.8705
100000.0,0.0,0.8628
100000.0,0.0,0.8713
100000.0,0.0,0.8659
100000.0,0.0,0.865
100000.0,0.0,0.87
100000.0,0.0,0.8647
100000.0,0.0,0.8635
100000.0,0.0,0.8695
100000.0,0.0,0.8664
100000.0,0.0,0.86
100000.0,0.0,0.8681
100000.0,0.0,0.868
100000.0,0.0,0.8649
100000.0,0.0,0.8666
100000.0,0.0,0.8573
100000.0,0.0,0.862
100000.0,0.0,0.8619
100000.0,0.0,0.8663
100000.0,0.0,0.8688
100000.0,0.0,0.8696
100000.0,0.0,0.8666
100000.0,0.0,0.866
100000.0,0.0,0.8629
100000.0,0.0,0.8613
100000.0,0.0,0.8648
100000.0,0.0,0.8675
100000.0,0.0,0.8594
100000.0,0.0,0.8628
100000.0,0.0,0.8655
100000.0,0.0,0.865
100000.0,0.0,0.8624
100000.0,0.0,0.8663
100000.0,0.0,0.8683
100000.0,0.0,0.8714
100000.0,0.0,0.8615
100000.0,0.0,0.8702
100000.0,0.0,0.8646
100000.0,0.0,0.8666
100000.0,0.0,0.8661
100000.0,0.0,0.8677
100000.0,0.0,0.8606
100000.0,0.0,0.8676
100000.0,0.0,0.8716
100000.0,0.0,0.867
100000.0,0.0,0.8625
100000.0,0.0,0.8674
100000.0,0.0,0.8675
100000.0,0.0,0.8687
100000.0,0.0,0.8652
100000.0,0.0,0.8687
100000.0,0.0,0.867
100000.0,0.0,0.8621
100000.0,0.0,0.859
100000.0,0.0,0.871
100000.0,0.0,0.8636
100000.0,0.0,0.8667
100000.0,0.0,0.8664
100000.0,0.0,0.8656
100000.0,0.0,0.8649
1000000.0,0.0,0.9513
1000000.0,0.0,0.954
1000000.0,0.0,0.9544
1000000.0,0.0,0.9511
1000000.0,0.0,0.9529
1000000.0,0.0,0.9533
1000000.0,0.0,0.9535
1000000.0,0.0,0.9522
1000000.0,0.0,0.9561
1000000.0,0.0,0.9559
1000000.0,0.0,0.9526
1000000.0,0.0,0.9537
1000000.0,0.0,0.9536
1000000.0,0.0,0.9529
1000000.0,0.0,0.9526
1000000.0,0.0,0.9526
1000000.0,0.0,0.9547
1000000.0,0.0,0.9525
1000000.0,0.0,0.9514
1000000.0,0.0,0.9551
1000000.0,0.0,0.9565
1000000.0,0.0,0.9538
1000000.0,0.0,0.954
1000000.0,0.0,0.9561
1000000.0,0.0,0.9517
1000000.0,0.0,0.9533
1000000.0,0.0,0.9549
1000000.0,0.0,0.954
1000000.0,0.0,0.9517
1000000.0,0.0,0.9526
1000000.0,0.0,0.9533
1000000.0,0.0,0.9528
1000000.0,0.0,0.9541
1000000.0,0.0,0.9549
1000000.0,0.0,0.9534
1000000.0,0.0,0.954
1000000.0,0.0,0.9551
1000000.0,0.0,0.9539
1000000.0,0.0,0.953
1000000.0,0.0,0.9548
1000000.0,0.0,0.9557
1000000.0,0.0,0.9542
1000000.0,0.0,0.953
1000000.0,0.0,0.9554
1000000.0,0.0,0.9516
1000000.0,0.0,0.9529
1000000.0,0.0,0.9519
1000000.0,0.0,0.9522
1000000.0,0.0,0.9534
1000000.0,0.0,0.9538
1000000.0,0.0,0.9519
1000000.0,0.0,0.9536
1000000.0,0.0,0.9534
1000000.0,0.0,0.9536
1000000.0,0.0,0.954
1000000.0,0.0,0.9537
1000000.0,0.0,0.9557
1000000.0,0.0,0.955
1000000.0,0.0,0.9535
1000000.0,0.0,0.9521
1000000.0,0.0,0.9537
1000000.0,0.0,0.9542
1000000.0,0.0,0.9581
1000000.0,0.0,0.9555
1000000.0,0.0,0.9531
1000000.0,0.0,0.9533
1000000.0,0.0,0.9534
1000000.0,0.0,0.9521
1000000.0,0.0,0.952
1000000.0,0.0,0.9527
1000000.0,0.0,0.9537
1000000.0,0.0,0.9527
1000000.0,0.0,0.9525
1000000.0,0.0,0.9525
1000000.0,0.0,0.9571
1000000.0,0.0,0.9568
1000000.0,0.0,0.9551
1000000.0,0.0,0.9526
1000000.0,0.0,0.9518
1000000.0,0.0,0.9553
1000000.0,0.0,0.9526
1000000.0,0.0,0.9503
1000000.0,0.0,0.9536
1000000.0,0.0,0.9542
1000000.0,0.0,0.9529
1000000.0,0.0,0.9525
1000000.0,0.0,0.9541
1000000.0,0.0,0.9506
1000000.0,0.0,0.9505
1000000.0,0.0,0.9544
1000000.0,0.0,0.9547
1000000.0,0.0,0.9523
1000000.0,0.0,0.953
1000000.0,0.0,0.9532
1000000.0,0.0,0.953
1000000.0,0.0,0.9575
1000000.0,0.0,0.9528
1000000.0,0.0,0.9569
1000000.0,0.0,0.9508
1000000.0,0.0,0.9534
10000000.0,0.0,0.9847
10000000.0,0.0,0.9838
10000000.0,0.0,0.9847
10000000.0,0.0,0.9864
10000000.0,0.0,0.9829
10000000.0,0.0,0.9849
10000000.0,0.0,0.9836
10000000.0,0.0,0.9826
10000000.0,0.0,0.9835
10000000.0,0.0,0.9839
10000000.0,0.0,0.9831
10000000.0,0.0,0.9846
10000000.0,0.0,0.9829
10000000.0,0.0,0.9851
10000000.0,0.0,0.9856
10000000.0,0.0,0.9834
10000000.0,0.0,0.9842
10000000.0,0.0,0.9848
10000000.0,0.0,0.9826
10000000.0,0.0,0.9845
10000000.0,0.0,0.9848
10000000.0,0.0,0.9848
10000000.0,0.0,0.9833
10000000.0,0.0,0.9841
